[2024-12-28 08:58:29,843: INFO: main: Welcome to our custom log]
[2024-12-29 19:36:06,823: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-12-29 19:36:06,825: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-29 19:36:06,827: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-29 19:36:06,828: INFO: common: created directory at: artifacts]
[2024-12-29 19:36:06,829: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-29 19:36:06,830: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1neHDzlw1PLKbwKctJXdddyRMXF3W-4rV/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-12-29 19:36:16,705: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1neHDzlw1PLKbwKctJXdddyRMXF3W-4rV/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-12-29 19:36:18,671: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
